movie_id,cast_id
1888,14885
1888,14886
1888,48331
1888,61284
1889,14887
1889,20537
1889,14888
1889,10953
1889,14889
1889,14890
1889,8044
1889,14891
1889,27003
1889,14892
1889,14893
1889,14894
1889,14895
1890,1
1891,1
1892,14896
1892,15932
1892,14897
1892,25446
1892,9675
1892,14898
1892,14899
1892,14900
1892,14901
1892,14902
1892,14903
1892,14904
1892,14905
1893,2013
1893,12916
1893,14906
1893,17015
1893,20040
1893,2017
1893,12921
1893,14907
1893,17016
1893,20047
1893,187
1893,2015
1893,12918
1893,14908
1893,17025
1893,20041
1893,12922
1893,14909
1893,189
1893,2016
1893,12919
1893,14910
1893,17024
1893,20042
1893,188
1893,2014
1893,12920
1893,14911
1893,17023
1893,20044
1893,14912
1893,20048
1893,14913
1893,12923
1893,14914
1893,20046
1893,14915
1894,7597
1894,11231
1894,14916
1894,11233
1894,14917
1894,11232
1894,14918
1894,22415
1894,9663
1894,11203
1894,12318
1894,14550
1894,14919
1894,31321
1894,34601
1894,46001
1894,58442
1894,1334
1894,6581
1894,7590
1894,9991
1894,14105
1894,14920
1894,20060
1894,20134
1894,32265
1894,38493
1894,62767
1894,204
1894,1379
1894,7591
1894,10783
1894,11311
1894,11508
1894,14921
1894,20061
1894,32267
1894,36394
1894,38191
1894,41264
1894,42614
1894,47535
1894,7592
1894,14922
1894,20062
1894,26266
1894,30687
1894,32266
1894,49035
1894,51353
1894,1501
1894,7593
1894,14923
1894,20063
1894,20994
1894,26775
1894,32268
1894,57142
1894,60447
1894,60459
1894,1524
1894,2904
1894,6018
1894,7595
1894,14924
1894,20065
1894,24696
1894,38670
1894,42210
1894,43608
1894,47023
1894,1326
1894,4894
1894,7596
1894,14925
1894,20066
1894,37874
1894,40201
1894,40946
1894,41006
1894,54443
1894,14926
1894,23422
1894,35591
1895,12632
1895,14927
1895,29421
1895,39466
1895,39763
1895,52872
1895,53643
1895,14928
1895,14929
1895,28742
1895,14930
1895,4421
1895,14931
1895,17044
1895,18829
1895,21645
1895,24060
1895,27333
1895,38757
1895,52442
1895,60698
1895,14932
1895,14933
1895,14934
1895,27840
1896,14935
1896,14936
1896,35211
1896,14937
1896,14938
1896,11560
1896,14939
1896,35215
1896,39825
1896,50872
1896,14940
1896,14941
1896,1857
1896,14942
1897,2030
1897,9441
1897,14943
1897,17596
1897,590
1897,5676
1897,9437
1897,14944
1897,15773
1897,20853
1897,26416
1897,3814
1897,9515
1897,14945
1897,16694
1897,16890
1897,14946
1897,22446
1897,14947
1897,14948
1897,375
1897,14949
1897,15776
1897,17586
1897,18254
1897,24345
1897,59127
1897,397
1897,663
1897,2114
1897,2388
1897,3022
1897,3383
1897,3739
1897,9436
1897,9510
1897,11015
1897,14950
1897,17464
1897,20839
1897,22244
1897,22279
1897,24344
1897,14951
1897,20852
1897,3940
1897,14952
1897,19442
1897,20268
1897,20848
1897,22709
1897,24095
1897,24114
1897,24405
1897,24640
1897,24650
1897,48691
1897,59538
1897,796
1897,6454
1897,6914
1897,9439
1897,11045
1897,14953
1897,17491
1897,24961
1897,26248
1897,53546
1897,14954
1897,55416
1897,14955
1897,18279
1897,22541
1897,24407
1897,24566
1897,24960
1897,26247
1897,13076
1897,14956
1897,24313
1897,14957
1897,17237
1897,22273
1898,8238
1898,13254
1898,13273
1898,14958
1898,15337
1898,17170
1898,17683
1898,18119
1898,23228
1898,24368
1898,27561
1898,28316
1898,29908
1898,32723
1898,35097
1898,39623
1898,40105
1898,41060
1898,46762
1898,2011
1898,14959
1898,32992
1898,33455
1898,34331
1898,34465
1898,34497
1898,35407
1898,14960
1898,14961
1898,14962
1898,18122
1898,43910
1898,48583
1898,5243
1898,14963
1899,6722
1899,10682
1899,14964
1899,17521
1899,29723
1899,33862
1899,48360
1899,1392
1899,14965
1900,7398
1900,11382
1900,14966
1900,44833
1900,14967
1900,14968
1900,62691
1900,14969
1900,29630
1900,14970
1900,14971
1900,16027
1900,8004
1900,14972
1900,45007
1900,14973
1900,14974
1900,27058
1901,14975
1901,14976
1901,14977
1901,3722
1901,6636
1901,10873
1901,14978
1901,18471
1901,32294
1901,38229
1901,48301
1901,1416
1901,8883
1901,12808
1901,14979
1901,16795
1901,62761
1901,5779
1901,14980
1901,22458
1901,28470
1901,38408
1901,39069
1901,52539
1901,14981
1901,48805
1901,14982
1901,32457
1901,14983
1901,37504
1901,14984
1901,14985
1901,37082
1901,46232
1901,14986
1901,38502
1901,50190
1901,2402
1901,2871
1901,4864
1901,9100
1901,14987
1901,41593
1901,44792
1901,46515
1901,47541
1901,62336
1902,10523
1902,14988
1902,20206
1902,48176
1902,14989
1902,14990
1902,14991
1902,14992
1902,14993
1902,53403
1902,14994
1902,18660
1902,7306
1902,14995
1902,19470
1902,32694
1902,61140
1902,14996
1902,15797
1902,14997
1902,26871
1902,48351
1902,14998
1902,26664
1902,14999
1902,23555
1902,15000
1902,20584
1902,25919
1902,63011
1903,15001
1903,18551
1903,30466
1903,15002
1903,15003
1903,30475
1903,32576
1903,55300
1903,15004
1903,18557
1903,30469
1903,32181
1903,36374
1903,49404
1903,58883
1903,15005
1903,26138
1903,30474
1903,32581
1903,15006
1903,30471
1903,15007
1903,30473
1903,15008
1903,30470
1903,38658
1903,15009
1903,18558
1903,15010
1903,15011
1903,15012
1904,10251
1904,10822
1904,15013
1904,17130
1904,22064
1904,27477
1904,27808
1904,32061
1904,47955
1904,57089
1904,57182
1904,58129
1904,58542
1904,60398
1904,60711
1904,15014
1904,17128
1904,15015
1904,18547
1905,995
1905,8187
1905,8560
1905,15016
1905,59857
1905,15017
1906,5285
1906,9227
1906,15018
1906,51067
1906,15019
1906,15020
1906,7166
1906,9234
1906,15021
1906,22594
1906,40359
1906,9231
1906,15022
1906,15023
1906,15024
1906,15025
1907,15026
1907,6496
1907,14611
1907,15027
1907,16958
1907,26654
1907,28599
1907,35553
1907,35885
1907,39081
1907,4746
1907,15028
1907,16629
1907,20949
1907,31848
1907,54046
1907,15029
1907,55339
1907,15030
1907,54969
1907,57736
1907,15031
1907,44527
1907,54092
1907,57072
1907,60895
1907,15032
1908,15033
1908,15034
1908,28111
1908,46281
1908,14429
1908,15035
1908,28208
1908,13890
1908,15036
1908,24852
1909,600
1909,2627
1909,5762
1909,6208
1909,11063
1909,15037
1909,15114
1909,22025
1909,22860
1909,22936
1909,24550
1909,27549
1909,28238
1909,38085
1909,15038
1909,40966
1909,42515
1909,15039
1909,15040
1909,16348
1909,22865
1909,3375
1909,11060
1909,15041
1909,17075
1909,18364
1909,19035
1909,22766
1909,23878
1909,25881
1909,28323
1909,30800
1909,36921
1909,38169
1909,42514
1909,1225
1909,3611
1909,15042
1909,20091
1909,28054
1909,49169
1909,59388
1909,5754
1909,6906
1909,10360
1909,11064
1909,15043
1909,16818
1909,20188
1909,21453
1909,22767
1909,23184
1909,23611
1909,23969
1909,24019
1909,24975
1909,25890
1909,28039
1909,28241
1909,28400
1909,28869
1909,29483
1909,31776
1909,32160
1909,37460
1909,38844
1909,38858
1909,40129
1909,41316
1909,41899
1909,51533
1909,51979
1909,53027
1909,2625
1909,15044
1909,16349
1909,17077
1909,22773
1909,22937
1909,23879
1909,24277
1909,24551
1909,25163
1909,28037
1909,28240
1909,28858
1909,30801
1909,32134
1909,33925
1909,36954
1909,49163
1909,53032
1909,2100
1909,15045
1909,16341
1909,22863
1909,23881
1909,25860
1909,27042
1909,35502
1909,6207
1909,15046
1909,25884
1909,36950
1909,2620
1909,15047
1909,32163
1909,36948
1909,42346
1909,15048
1909,22862
1909,4819
1909,6196
1909,15049
1909,25889
1909,38520
1909,49162
1909,51980
1909,15050
1909,16252
1909,20196
1909,20931
1909,22871
1909,25861
1909,31373
1909,3618
1909,10001
1909,11068
1909,15051
1909,16185
1909,20090
1909,22868
1909,23613
1909,24592
1909,25833
1909,25872
1909,28861
1909,601
1909,1236
1909,4722
1909,5755
