movie_id,country_id
470,17
471,3
472,3
473,1
474,1
475,1
475,38
476,3
477,3
478,1
479,8
480,3
481,3
482,3
483,3
484,3
485,3
486,3
487,28
487,17
487,1
488,3
489,1
490,49
490,1
491,3
492,1
493,1
494,1
494,18
495,1
496,3
497,14
497,17
497,1
497,20
498,3
499,3
500,1
501,3
502,3
503,19
504,43
505,3
506,3
507,13
508,3
509,14
509,50
509,23
510,1
511,17
512,1
513,14
513,21
514,1
515,7
516,7
517,45
518,18
519,4
520,7
521,1
522,17
523,29
524,7
525,18
526,1
526,17
527,1
528,31
528,1
528,7
529,4
530,47
531,1
532,51
533,1
534,39
535,46
536,17
537,13
538,18
539,7
540,13
540,33
541,7
541,8
542,4
543,4
544,21
544,50
545,17
546,22
547,3
548,1
549,1
550,3
551,3
552,4
553,3
554,14
555,19
556,22
556,10
557,22
558,13
558,1
559,1
560,1
560,8
561,3
562,1
563,1
564,1
565,1
566,13
566,8
567,1
567,8
568,1
569,1
570,52
571,3
572,3
573,7
573,21
574,1
574,16
575,1
575,16
576,1
577,7
577,13
577,1
578,3
579,14
579,18
579,1
580,1
581,3
582,1
583,1
584,1
584,7
585,1
586,7
586,1
587,3
588,3
589,1
590,7
591,3
592,1
593,1
594,1
595,1
595,8
596,8
596,1
597,1
598,1
599,1
599,7
600,1
601,1
602,1
603,1
604,1
605,7
605,8
605,20
605,1
606,1
607,7
607,1
607,14
607,24
608,1
609,1
609,8
609,17
610,1
610,14
610,24
610,7
611,1
611,7
611,8
611,53
612,1
612,17
613,1
613,33
614,19
615,1
615,33
616,1
617,3
618,54
619,1
620,3
621,1
622,3
623,1
624,3
625,3
626,11
627,3
628,16
629,1
630,3
631,1
632,18
633,3
634,3
635,14
636,55
637,1
637,17
638,3
639,1
640,3
641,3
642,3
643,18
644,1
645,3
646,3
647,3
648,3
649,1
650,3
651,34
652,19
653,3
654,3
655,25
656,25
657,25
658,1
659,3
660,45
661,1
662,14
663,1
664,3
665,20
666,15
666,8
667,3
668,1
669,1
670,20
671,3
672,3
673,3
674,26
675,1
676,18
677,1
678,17
678,1
679,1
680,45
681,1
682,7
683,13
684,3
685,20
686,1
687,22
688,3
689,19
690,3
691,3
692,3
693,3
694,3
695,55
695,56
696,3
697,17
697,1
698,3
699,57
700,58
701,3
702,17
703,1
704,12
705,3
706,8
707,3
708,3
709,1
710,26
711,3
712,24
713,3
714,1
715,3
716,3
717,1
718,3
719,1
720,1
721,3
722,1
723,1
724,1
725,1
725,7
726,3
727,1
728,1
729,1
730,3
731,3
732,22
733,3
734,48
735,14
735,1
736,4
737,1
737,4
738,57
738,23
738,46
739,3
740,16
740,1
740,17
741,1
742,55
742,59
743,52
744,17
744,1
744,48
745,37
746,59
747,1
748,19
749,1
750,1
751,11
751,14
751,37
752,3
753,1
753,7
754,37
755,7
755,1
756,50
757,19
758,1
759,7
760,3
761,3
762,3
763,22
764,1
765,2
766,20
767,11
768,18
769,54
770,26
771,59
772,3
773,24
774,57
775,1
776,1
777,1
778,1
779,18
780,1
781,7
782,3
783,17
783,1
784,34
785,1
785,17
786,1
787,1
788,1
789,1
790,7
791,1
792,1
793,1
794,1
795,19
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,8
803,1
803,14
804,18
805,17
805,1
806,3
807,3
808,3
809,1
809,41
810,1
811,1
812,3
813,1
814,1
814,17
815,1
816,3
817,7
817,14
817,8
817,1
818,1
819,1
820,1
821,59
822,7
823,1
824,1
825,1
826,1
827,1
828,3
829,1
830,3
831,1
832,3
833,3
834,39
835,1
836,3
837,45
838,60
838,48
839,26
840,56
840,14
840,55
840,61
841,24
842,3
843,3
844,18
845,3
846,3
847,1
848,3
849,1
850,3
851,4
852,3
853,3
854,1
855,3
856,1
857,3
858,20
859,3
860,47
861,13
862,3
863,1
864,1
865,3
866,1
867,1
868,1
869,17
869,1
870,11
871,1
872,4
873,1
874,4
875,7
876,3
877,4
878,4
879,21
879,50
880,1
881,1
881,10
882,2
883,62
884,1
885,22
886,17
886,2
887,3
888,63
889,3
890,1
891,1
892,7
893,4
894,3
895,11
895,34
896,14
896,1
897,1
898,3
899,3
900,20
901,1
902,1
903,22
904,4
905,1
906,16
907,12
908,1
909,1
910,4
911,1
912,4
913,3
914,4
915,7
915,1
916,8
916,14
917,1
918,1
919,4
920,1
921,11
921,1
922,1
923,1
924,3
925,1
926,3
927,1
928,3
929,1
930,3
931,1
932,1
933,7
933,14
933,20
933,1
934,7
934,1
935,7
935,17
935,1
936,1
937,3
938,3
939,3
940,3
941,3
942,3
943,1
943,13
944,1
945,16
946,7
947,1
947,14
948,1
948,7
948,14
949,1
950,1
950,29
951,1
951,7
951,33
952,1
953,1
954,1
955,17
956,14
956,1
957,1
958,3
959,3
960,4
961,3
962,3
963,1
963,7
964,3
965,3
966,3
967,34
968,3
969,43
970,1
971,1
972,20
973,12
974,4
975,4
976,1
977,12
978,12
979,12
980,12
981,12
982,12
983,12
984,20
985,12
986,12
987,12
988,3
989,45
990,12
991,12
992,47
993,3
994,1
995,19
996,12
997,18
998,13
998,7
999,4
1000,8
1000,1
1001,3
1002,17
1002,19
1002,1
1003,11
1004,24
1005,13
1006,3
1007,3
1008,3
1009,3
1010,3
1011,3
1012,1
1013,11
1014,14
1014,1
1014,7
1014,17
1015,14
1015,7
1016,1
1017,4
1018,4
1019,4
1020,4
1020,7
1021,4
1022,4
1023,4
1024,4
1025,1
1026,3
1027,1
1028,17
1028,1
1028,11
1029,3
1030,1
1031,57
1032,8
1033,22
1034,7
1034,8
1034,1
1035,1
1036,10
1036,7
1036,1
1037,1
1038,4
1039,3
1040,1
1041,18
1042,18
1043,1
1044,1
1045,18
1046,1
1047,1
1048,55
1049,1
1049,14
1050,16
1050,7
1051,18
1052,18
1053,1
1054,1
1055,3
1056,1
1057,3
1058,1
1059,24
1059,7
1060,1
1061,1
1061,4
1062,1
1063,22
1064,1
1065,22
1066,17
1067,16
1067,40
1068,45
1069,1
1070,4
1071,1
1072,3
1073,3
1074,3
1075,3
1076,1
1076,34
1076,18
1076,20
1076,4
1077,3
1078,3
1079,3
1080,39
1080,1
1081,16
1082,1
1083,3
1084,1
1085,16
1086,22
1087,19
1088,4
1089,1
1090,1
1091,46
1092,18
1093,3
1094,4
1095,3
1096,3
1097,3
1098,1
1098,16
1098,7
1099,4
1100,64
1101,1
1102,1
1102,17
1103,1
1104,16
1105,1
1105,17
1106,7
1106,1
1107,1
1108,19
1109,4
1110,50
1111,14
1112,1
1112,7
1112,14
1113,1
1114,1
1115,4
1116,4
1117,3
1118,55
1118,65
1118,48
1118,61
1119,1
1119,17
1120,1
1120,17
1121,18
1121,1
1122,1
1123,4
1124,66
1124,8
1125,1
1126,7
1127,1
1128,1
1129,1
1130,7
1131,3
1132,18
1133,3
1134,1
1135,1
1135,18
1136,1
1137,46
1138,47
1138,44
1139,7
1139,14
1139,43
1139,8
1139,1
1140,1
1141,1
1142,4
1143,1
1144,1
1145,1
1145,7
1146,31
1146,38
1146,7
1146,14
1146,1
1147,1
1147,11
1148,7
1149,22
1150,18
1151,1
1152,16
1152,7
1153,1
1154,7
1154,2
1154,14
1155,1
1156,19
1157,1
1158,1
1159,1
1160,3
1161,31
1161,7
1161,14
1161,8
1162,7
1163,12
1164,20
1165,20
1166,4
1167,7
1168,24
1169,1
1170,18
1171,29
1171,1
1172,1
1173,2
1174,22
1175,22
1176,7
1176,1
1176,14
1177,18
1178,40
1179,1
1180,1
1180,18
1181,3
1182,1
1183,7
1184,3
1185,16
1186,19
1187,18
1188,1
1189,34
1190,1
1191,7
1191,1
1192,1
1193,7
1193,30
1194,3
1195,19
1196,1
1197,21
1198,7
1198,1
1199,8
1200,1
1201,1
1202,47
1203,4
1204,1
1204,4
1204,7
1205,1
1206,1
1206,7
1207,7
1208,3
1209,12
1210,67
1211,22
1212,12
1213,12
1214,1
1215,3
1216,12
1217,12
1218,7
1219,1
1220,12
1221,20
1221,26
1222,46
1223,1
1224,14
1225,3
1226,3
1227,8
1228,4
1229,4
1229,7
1229,14
1229,61
1230,47
1231,4
1232,1
1233,37
1234,19
1235,20
1236,3
1237,14
1238,46
1239,1
1239,13
1240,1
1241,1
1242,1
1243,1
1244,1
1245,4
1246,1
1247,3
1248,3
1249,1
1250,3
1251,3
1252,1
1252,7
1253,8
1254,1
